No,Yhtiö,geometry
43,Iin Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.736856,65.582675 25.772026,65.585542 25.754882,65.596576 25.575127,65.577807 25.564419,65.583724 25.547858,65.582706 25.281118,65.501698 24.963718,65.535595 24.799561,65.463621 24.80336,65.414126 24.759161,65.381692 24.68661,65.294061 24.748628,65.243418 24.849535,65.208642 25.179349,65.238311 25.216453,65.235316 25.315232,65.261385 25.371122,65.253404 25.545553,65.251752 25.549,65.253127 25.567636,65.26056 25.549015,65.300782 25.572821,65.316481 25.588662,65.327805 25.580486,65.326868 25.588064,65.338973 25.567311,65.342216 25.575306,65.346589 25.614348,65.347812 25.641554,65.379003 25.634973,65.38668 25.646805,65.397101 25.756785,65.51322 25.786981,65.552012</coordinates></LinearRing></outerBoundaryIs></Polygon>"
45,Haukiputaan Sähköosuuskunta,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.545553,65.251752 25.371122,65.253404 25.315232,65.261385 25.216453,65.235316 25.179349,65.238311 24.849535,65.208642 24.945112,65.168185 25.201295,65.066207 25.281224,65.066683 25.356033,65.067128 25.357987,65.101535 25.389765,65.115634 25.459745,65.105194 25.532373,65.15664 25.544298,65.162773 25.734176,65.21005 25.830527,65.207393 25.836835,65.296831 25.744388,65.296949 25.732604,65.285676 25.646679,65.239372 25.627749,65.248656 25.549,65.253127</coordinates></LinearRing></outerBoundaryIs></Polygon>"
58,Raahen Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.470002,64.743455 24.46284,64.740731 24.353475,64.699136 24.268371,64.666768 24.273143,64.665901 24.341666,64.653452 24.350125,64.651915 24.552907,64.672611 24.570099,64.659995 24.594298,64.65867 24.601706,64.66567 24.52796,64.704015 24.495847,64.703475</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77,Jakobstads Energiverk,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.91861,63.778642 22.859404,63.788569 22.884728,63.815122 22.826691,63.878027 22.749549,63.948964 22.745167,63.945737 22.630123,63.86102 22.350646,63.673837 22.39183,63.663059 22.517823,63.622475 22.525087,63.613228 22.544613,63.612114 22.57901,63.6149 22.681268,63.618846 22.684821,63.618983 22.707121,63.628714 22.722955,63.635624 22.723592,63.644253 22.747117,63.642369 22.815292,63.668583 22.822269,63.671266 22.807117,63.681505 22.785629,63.696026 22.83653,63.745723 22.925238,63.777531</coordinates></LinearRing></outerBoundaryIs></Polygon>"
79,Nykarleby Kraftverk,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.649181,63.315206 22.59997,63.366891 22.538652,63.452825 22.503568,63.480145 22.665284,63.467919 22.701711,63.456103 22.737114,63.454522 22.724693,63.469708 22.748342,63.504855 22.745068,63.546296 22.711218,63.559501 22.675902,63.588577 22.681268,63.618846 22.57901,63.6149 22.544613,63.612114 22.525087,63.613228 22.517823,63.622475 22.350039,63.674102 22.127318,63.527942 21.948777,63.484727 22.064545,63.427645 22.095212,63.412434 22.274443,63.351297 22.390696,63.34391 22.389596,63.350765 22.422576,63.348384 22.425575,63.34159 22.450505,63.341527 22.523084,63.33091 22.537674,63.335674 22.616209,63.283424</coordinates></LinearRing></outerBoundaryIs></Polygon>"
80,Jeppo Kraft Andelslag,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.649897,63.315896 22.721822,63.334436 22.726904,63.35181 22.804449,63.372196 22.737114,63.454522 22.701711,63.456103 22.665284,63.467919 22.503568,63.480145 22.538652,63.452825 22.59997,63.366891 22.649181,63.315206</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92,Hiirikosken Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.99819,63.119999 21.968208,63.100842 21.937968,63.083392 21.935433,63.081578 21.93173,63.081014 21.92942,63.077916 21.919378,63.081002 21.915601,63.080866 21.912648,63.076021 21.909546,63.072032 21.909413,63.056517 21.915703,63.047696 21.938764,63.035168 21.953725,63.030965 21.977665,63.029664 22.020065,63.003595 22.04014,63.002579 22.032179,62.993684 22.032908,62.989401 22.041382,62.989699 22.097192,62.956328 22.108264,62.958005 22.123447,62.952069 22.137797,62.962472 22.203513,62.948356 22.22175,63.000232 22.179513,63.00784 22.18919,63.012375 22.177722,63.012947 22.190609,63.013813 22.19443,63.020839 22.189244,63.029277 22.211582,63.043389 22.227904,63.042218 22.259884,63.049755 22.259991,63.054927 22.262335,63.058021 22.241819,63.064114 22.211748,63.076991 22.143537,63.109985 22.122239,63.117868 22.110175,63.127359 22.093004,63.133226 22.073932,63.133425 22.074078,63.138169 22.050344,63.137772 22.030837,63.134935 22.033626,63.131155 22.02819,63.128164 22.021742,63.132461 22.014614,63.129625 21.987622,63.126087 22.003717,63.121056</coordinates></LinearRing></outerBoundaryIs></Polygon>"
97,Kronoby Elverk,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.36907,63.805745 23.3225,63.793248 23.276924,63.781019 23.169716,63.739476 23.149747,63.746403 23.02469,63.789778 23.022993,63.788009 23.007118,63.790153 22.984218,63.786934 22.986767,63.782701 22.96569,63.780391 22.961445,63.782855 22.91861,63.778642 22.925238,63.777531 22.83653,63.745723 22.785629,63.696026 22.807117,63.681505 22.822269,63.671266 22.815292,63.668583 22.823753,63.661192 22.859366,63.656197 22.862474,63.661452 22.893477,63.661481 22.904189,63.667813 22.937585,63.678231 22.957483,63.688262 22.95968,63.687402 22.988283,63.676211 23.003733,63.676642 23.005504,63.676342 23.025578,63.672943 23.061027,63.654981 23.103957,63.652708 23.161781,63.640493 23.174938,63.643426 23.24224,63.661556 23.249938,63.645215 23.273838,63.620946 23.274226,63.620553 23.315736,63.619118 23.336928,63.618386 23.375702,63.663263 23.400831,63.648399 23.428719,63.646032 23.432147,63.645742 23.451662,63.629013 23.451889,63.629127 23.485621,63.641896 23.477831,63.652032 23.498512,63.657056 23.505282,63.64926 23.524442,63.635096 23.537616,63.636167 23.55396,63.639034 23.560572,63.640376 23.616663,63.650851 23.651846,63.670605 23.708163,63.656955 23.746014,63.677284 23.664603,63.708332 23.624844,63.722464 23.566515,63.743243 23.495593,63.723786 23.442189,63.737429 23.423091,63.752124 23.412907,63.751978 23.398512,63.758181 23.438916,63.76919 23.43493,63.769952 23.428786,63.776254 23.416629,63.783913 23.418869,63.791176 23.413516,63.802661 23.397389,63.812694 23.369299,63.805858 23.367156,63.808073</coordinates></LinearRing></outerBoundaryIs></Polygon>"
98,Esse Elektro-Kraft Ab,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.240851,63.437948 23.192903,63.471574 23.126162,63.518381 23.132223,63.559001 23.273838,63.620946 23.249938,63.645215 23.24224,63.661556 23.174938,63.643426 23.161781,63.640493 23.103957,63.652708 23.061027,63.654981 23.025578,63.672943 23.005504,63.676342 22.92086,63.632774 22.897338,63.607998 22.8321,63.604395 22.750178,63.544302 22.745068,63.546296 22.748342,63.504855 22.724693,63.469708 22.737114,63.454522 22.804449,63.372196 22.726904,63.35181 22.721822,63.334436 22.649897,63.315896 22.649181,63.315206 22.616209,63.283424 22.614832,63.282097 22.598697,63.249951 22.635556,63.197314 22.639487,63.198028 22.804358,63.227967 22.856424,63.237931 22.845868,63.262083 22.8076,63.274027 22.785803,63.290063 22.829822,63.31633 22.838269,63.297635 22.945152,63.340324 22.978916,63.331811 22.979285,63.315464 22.966268,63.293265 22.968371,63.270388 22.994541,63.274688 23.01358,63.261332 23.015221,63.2623 23.059559,63.28844 23.139656,63.304408 23.157578,63.313501 23.177789,63.305437 23.246629,63.247017 23.383117,63.241257 23.436649,63.238998 23.466613,63.290522 23.257319,63.311854 23.305407,63.339791 23.287946,63.371184 23.213353,63.442386 23.24288,63.43714 23.242599,63.438901</coordinates></LinearRing></outerBoundaryIs></Polygon>"
101,Tenergia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.578562,66.020052 24.71199,65.969646 24.716892,65.961981 25.038181,65.97845 25.031131,65.987816 25.109262,65.987077 25.157564,65.990241 25.150933,65.965233 25.2262,65.961161 25.459562,66.091115 25.486728,66.0974 25.528237,66.112413 25.557757,66.115269 25.750246,66.093881 25.773064,66.091345 25.902289,66.113964 26.120459,66.152151 25.781998,66.214315 25.341459,66.212806 25.005219,66.292229 25.005015,66.294805 25.000748,66.29475 25.000952,66.292174 24.806557,66.337051 24.800415,66.338468 24.68383,66.280033 24.686274,66.253417 24.600347,66.237495 24.494539,66.186811 24.502763,66.125034 24.509709,66.119128 24.502166,66.109547 24.505855,66.028781 24.575623,66.019703</coordinates></LinearRing></outerBoundaryIs></Polygon>"
102,Vetelin Sähkölaitos Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.060325,63.280144 24.083378,63.297825 24.092052,63.306605 24.09319,63.37115 24.112906,63.374316 24.11548,63.37473 24.117713,63.375088 24.130248,63.383944 24.065255,63.400688 24.064904,63.404122 23.955762,63.419905 23.939484,63.50043 23.912654,63.517061 23.89207,63.511453 23.884382,63.511286 23.880445,63.512061 23.879695,63.518928 23.89442,63.52527 23.87627,63.532619 23.858961,63.532241 23.846852,63.537137 23.83434,63.528257 23.751302,63.512631 23.739674,63.513227 23.730949,63.505284 23.682596,63.490404 23.661649,63.486648 23.662002,63.485408 23.657132,63.4612 23.667821,63.451984 23.658535,63.449186 23.709722,63.421978 23.701191,63.395967 23.70831,63.384085 23.699041,63.381289 23.694618,63.382372 23.77254,63.307467 23.832143,63.287294 23.870188,63.288996 23.940304,63.276754 23.942768,63.276603 23.992222,63.27356 24.031597,63.263249 24.05307,63.257626</coordinates></LinearRing></outerBoundaryIs></Polygon>"
106,Vimpelin Voima Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.031597,63.263249 23.992222,63.27356 23.942768,63.276603 23.91903,63.261239 23.863014,63.258294 23.858875,63.217333 23.841647,63.209208 23.81464,63.203442 23.791207,63.199903 23.784411,63.20104 23.760552,63.201358 23.696908,63.174508 23.715203,63.112009 23.715547,63.110834 23.73559,63.110006 23.736457,63.102282 23.727178,63.100347 23.724964,63.094703 23.727341,63.090455 23.749899,63.075486 23.865413,63.112938 23.884506,63.112068 23.883347,63.105159 23.891707,63.09803 23.895756,63.104571 23.94065,63.11114 24.069109,63.146547 24.086191,63.137436 24.100942,63.142039 24.108183,63.136165 24.111807,63.13796 24.107498,63.143034 24.126619,63.151595 24.116444,63.158271 24.119378,63.15747 24.122354,63.15624 24.131847,63.156432 24.136679,63.15567 24.146172,63.155861 24.148282,63.153753 24.154231,63.151291 24.161253,63.147561 24.164087,63.147761 24.169753,63.148161 24.175198,63.15085 24.176804,63.153893 24.179276,63.157813 24.179933,63.160837 24.18658,63.160969 24.195583,63.156416 24.233201,63.170918 24.170159,63.212259 24.149168,63.222163 24.140035,63.218108 24.051133,63.248553 24.05307,63.257626</coordinates></LinearRing></outerBoundaryIs></Polygon>"
107,Jylhän Sähköosuuskunta,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.246629,63.247017 23.177789,63.305437 23.157578,63.313501 23.139656,63.304408 23.059559,63.28844 23.015221,63.2623 23.057801,63.245348 23.077292,63.242444 23.066112,63.240414 23.035033,63.202533 22.949721,63.171713 22.95044,63.166568 22.948325,63.154455 22.945731,63.145772 22.905239,63.135998 22.861108,63.125245 22.865385,63.121926 22.865078,63.110724 22.869045,63.096203 22.888138,63.082123 22.900453,63.075593 22.913365,63.064774 22.991938,63.045499 22.992172,63.03001 23.026513,63.028397 23.023338,63.037777 23.04894,63.030747 23.206592,63.042813 23.2547,63.022577 23.26693,63.030647 23.314047,63.032744 23.317005,63.054339 23.347424,63.068899 23.403645,63.074642 23.426556,63.088993 23.460319,63.092423 23.443396,63.137612 23.400577,63.176122 23.366687,63.188168 23.383117,63.241257</coordinates></LinearRing></outerBoundaryIs></Polygon>"
134,Alajärven Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.161253,63.147561 24.154231,63.151291 24.148282,63.153753 24.146172,63.155861 24.136679,63.15567 24.131847,63.156432 24.122354,63.15624 24.119378,63.15747 24.116444,63.158271 24.126619,63.151595 24.107498,63.143034 24.111807,63.13796 24.108183,63.136165 24.100942,63.142039 24.086191,63.137436 24.069109,63.146547 23.94065,63.11114 23.895756,63.104571 23.891707,63.09803 23.883347,63.105159 23.884506,63.112068 23.865413,63.112938 23.749899,63.075486 23.727341,63.090455 23.724964,63.094703 23.727178,63.100347 23.736457,63.102282 23.73559,63.110006 23.715547,63.110834 23.715203,63.112009 23.702722,63.098274 23.685527,63.099163 23.680971,63.089161 23.646839,63.088787 23.636764,63.069186 23.652722,63.0459 23.641477,63.044773 23.637493,63.038224 23.632619,63.039399 23.610984,63.029846 23.577917,63.02905 23.574756,63.015634 23.508229,63.009703 23.499455,62.980225 23.496968,62.969406 23.458519,62.95898 23.508588,62.927524 23.508955,62.9086 23.53016,62.90482 23.53478,62.881697 23.606521,62.872687 23.632096,62.879755 23.643221,62.873136 23.650488,62.874514 23.847309,62.91184 23.832927,62.922703 23.908282,62.942014 23.936416,62.92585 23.948483,62.936866 23.983077,62.940191 23.989392,62.933873 24.018694,62.933528 24.019972,62.937349 24.023762,62.948691 24.055673,62.960115 24.094851,62.965228 24.176849,62.987108 24.295823,62.999327 24.299823,63.017469 24.325142,63.030423 24.318951,63.066865 24.345675,63.096186 24.16409,63.147725 24.164087,63.147761</coordinates></LinearRing></outerBoundaryIs></Polygon>"
135,Lehtimäen Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.763041,62.777737 23.785993,62.773962 23.801127,62.781621 23.839696,62.763564 23.93295,62.751434 23.972183,62.753146 23.997392,62.680554 23.986577,62.67645 23.987494,62.667436 23.999523,62.65952 24.003999,62.659615 24.079977,62.668856 24.071787,62.675998 24.072108,62.67857 24.077015,62.717834 24.03865,62.735958 24.03569,62.756114 24.160603,62.764717 24.1377,62.845982 24.09206,62.850639 24.022822,62.837147 23.992195,62.860586 24.002066,62.893061 24.009592,62.893221 24.020196,62.937324 24.019972,62.937349 24.018694,62.933528 23.989392,62.933873 23.983077,62.940191 23.948483,62.936866 23.936416,62.92585 23.908282,62.942014 23.832927,62.922703 23.847309,62.91184 23.650488,62.874514 23.642416,62.871934 23.693801,62.833996 23.759223,62.778295 23.761868,62.77742</coordinates></LinearRing></outerBoundaryIs></Polygon>"
140,Keuruun Sähkö Oy,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>24.5727,62.489445 24.544048,62.453243 24.569624,62.438263 24.6561,62.374549 24.669139,62.376507 24.692017,62.352989 24.685882,62.324501 24.640566,62.3246 24.592819,62.331953 24.449822,62.294995 24.460602,62.276696 24.447757,62.264848 24.401316,62.268287 24.369476,62.262956 24.369124,62.224667 24.350271,62.220407 24.28075,62.233715 24.271773,62.228315 24.290947,62.191975 24.271097,62.167067 24.333358,62.17043 24.386122,62.166705 24.460913,62.141429 24.450211,62.181234 24.50715,62.1827 24.577658,62.164166 24.658666,62.151367 24.701287,62.134878 24.691223,62.122238 24.672323,62.11719 24.669116,62.051332 24.702515,62.04587 24.715164,62.048231 24.753289,62.028212 24.783742,62.035709 24.781928,62.037277 24.819796,62.045621 24.819987,62.044631 24.852283,62.052581 24.847592,62.080032 24.800421,62.098213 24.815725,62.102326 24.80893,62.120174 24.843422,62.125876 24.90347,62.147442 24.919887,62.176072 24.925467,62.188627 24.970897,62.211124 25.058324,62.226567 25.0705,62.237917 25.160795,62.253764 25.139223,62.274547 25.067213,62.274853 25.05917,62.313765 25.039724,62.328543 25.047818,62.346287 25.015561,62.400444 24.99019,62.419431 24.97907,62.446791 24.990957,62.463304 25.000915,62.481078 25.045486,62.53847 24.969626,62.57222 24.720088,62.580417 24.69348,62.550736 24.632508,62.532514 24.530588,62.527079</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>24.52438,62.526084 24.525361,62.5268 24.524975,62.526779</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
141,Koillis-Satakunnan Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.525361,62.5268 24.52438,62.526084 24.48641,62.498349 24.337335,62.584622 24.342549,62.599345 24.286531,62.599561 24.283715,62.620153 24.233292,62.620026 24.182139,62.59307 24.178145,62.590964 24.137168,62.590132 24.135264,62.609881 24.080433,62.668973 24.003999,62.659615 23.999523,62.65952 23.987494,62.667436 23.986577,62.67645 23.997392,62.680554 23.972183,62.753146 23.93295,62.751434 23.839696,62.763564 23.801127,62.781621 23.785993,62.773962 23.763041,62.777737 23.761868,62.77742 23.667347,62.751835 23.656881,62.736527 23.688085,62.735098 23.700249,62.734541 23.668783,62.655918 23.781333,62.610039 23.776489,62.603043 23.83022,62.598248 23.807051,62.570615 23.654981,62.537799 23.636405,62.545529 23.596689,62.53424 23.489858,62.594853 23.303252,62.548835 23.309562,62.588166 23.276051,62.579961 23.27591,62.566185 23.24172,62.556231 23.234869,62.536679 23.272583,62.495943 23.297125,62.493154 23.320175,62.472245 23.32857,62.472036 23.333994,62.465723 23.331372,62.464363 23.372717,62.460711 23.367611,62.433896 23.274046,62.409689 23.275451,62.405853 23.27289,62.404063 23.3492,62.348846 23.293254,62.332006 23.300101,62.326459 23.302898,62.303723 23.283662,62.287285 23.309328,62.269347 23.361385,62.232966 23.318679,62.227642 23.288795,62.215654 23.314509,62.17115 23.330128,62.163818 23.313424,62.142285 23.28466,62.151845 23.186987,62.131109 23.18096,62.105978 23.361273,62.072869 23.322841,62.12532 23.333403,62.136791 23.37119,62.136066 23.377907,62.141407 23.455487,62.146429 23.525533,62.121095 23.537837,62.117961 23.640148,62.073582 23.713091,62.094701 23.751514,62.070223 23.821837,62.07315 23.863764,62.129073 23.849456,62.142946 23.879141,62.158247 23.949595,62.161969 23.958473,62.165176 23.975812,62.157382 24.034982,62.201253 24.019361,62.228881 24.040937,62.234506 24.060763,62.229765 24.056456,62.226662 24.119247,62.196577 24.130195,62.197665 24.135718,62.217138 24.175864,62.231297 24.211269,62.227282 24.217799,62.236446 24.236679,62.231662 24.260451,62.233854 24.265705,62.224664 24.271773,62.228315 24.28075,62.233715 24.350271,62.220407 24.369124,62.224667 24.369476,62.262956 24.401316,62.268287 24.447757,62.264848 24.460602,62.276696 24.449822,62.294995 24.592819,62.331953 24.640566,62.3246 24.685882,62.324501 24.692017,62.352989 24.669139,62.376507 24.6561,62.374549 24.569624,62.438263 24.544048,62.453243 24.5727,62.489445 24.530588,62.527079 24.528409,62.529026</coordinates></LinearRing></outerBoundaryIs></Polygon>"
152,Äänesseudun Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.875325,62.530305 25.949636,62.534322 25.977198,62.544844 25.973464,62.545802 25.928333,62.557378 25.913571,62.604552 25.879379,62.620618 25.834245,62.628849 25.813747,62.627813 25.77125,62.661842 25.766472,62.66014 25.699458,62.63626 25.630291,62.637321 25.60171,62.609523 25.615769,62.588166 25.696196,62.582919 25.703951,62.576113 25.741148,62.578172 25.830128,62.543691</coordinates></LinearRing></outerBoundaryIs></Polygon>"
178,Kuopion Energia,"<Polygon><outerBoundaryIs><LinearRing><coordinates>27.528349,62.966915 27.501626,62.950678 27.478048,62.89402 27.428348,62.845177 27.496796,62.777035 27.584654,62.759503 27.616806,62.772261 27.588885,62.783557 27.617651,62.812665 27.616024,62.824708 27.640459,62.824599 27.655285,62.815074 27.698541,62.816585 27.874874,62.742521 27.879143,62.768137 27.914301,62.805032 27.888063,62.817937 27.720535,62.870637 27.722608,62.878364 27.744061,62.907483 27.746426,62.926385 27.699398,62.931784 27.707172,62.941202 27.652658,62.950921 27.612873,62.944222 27.596237,62.961487</coordinates></LinearRing></outerBoundaryIs></Polygon>"
195,Outokummun Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>29.305375,62.717725 29.256252,62.761528 29.241649,62.766922 29.242124,62.797877 29.217923,62.800841 29.199796,62.809726 29.190601,62.81245 29.187165,62.816804 29.137834,62.836483 29.106626,62.847273 28.979656,62.806116 28.962473,62.802056 28.945754,62.776489 28.932569,62.775811 28.897929,62.791762 28.901959,62.796008 28.846352,62.807928 28.832078,62.820154 28.832399,62.825309 28.823005,62.825431 28.795295,62.833527 28.74531,62.815237 28.746424,62.802324 28.720463,62.775987 28.710985,62.774382 28.699632,62.7728 28.669622,62.77316 28.638753,62.758045 28.643277,62.738214 28.655621,62.724311 28.702674,62.695371 28.658204,62.670106 28.653843,62.658978 28.655567,62.656378 28.677548,62.648377 28.791162,62.641812 28.870608,62.597775 28.941856,62.574444 28.941295,62.565852 28.954134,62.562663 28.966742,62.556036 28.97606,62.570095 28.995933,62.574543 29.038737,62.600587 29.025286,62.622283 28.988259,62.627114 28.981597,62.639248 29.080956,62.670489 29.093018,62.68235 29.143175,62.703094 29.204009,62.690111 29.272792,62.683852 29.286009,62.685358</coordinates></LinearRing></outerBoundaryIs></Polygon>"
206,Lankosken Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.219979,61.907965 21.405052,61.915633 21.447421,61.913905 21.533431,61.944077 21.688252,61.853619 21.675937,61.819528 21.630848,61.82725 21.59419,61.818051 21.61243,61.797221 21.576418,61.784594 21.597421,61.746495 21.612291,61.746146 21.624931,61.746643 21.630946,61.743432 21.632141,61.736583 21.712967,61.710428 21.704647,61.695455 21.72911,61.690368 21.740753,61.675303 21.773913,61.672267 21.796762,61.699983 21.795461,61.759484 21.906902,61.778325 21.898774,61.794395 21.950379,61.812679 21.980749,61.805178 22.028654,61.812956 22.095596,61.792966 22.194129,61.88433 22.129355,61.924263 21.95654,61.941294 21.975504,61.981625 22.014955,61.99729 22.018498,61.998697 21.797561,62.068945 21.699876,62.049711 21.645582,62.013997 21.625854,62.021848 21.572104,62.024911 21.563132,62.034038 21.529712,62.036163 21.525941,62.026531 21.477219,62.021999 21.435581,62.028943 21.433386,62.040923 21.158841,62.042255 21.154013,62.042279 21.220345,61.906615</coordinates></LinearRing></outerBoundaryIs></Polygon>"
208,Vatajankosken Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.975504,61.981625 21.95654,61.941294 22.129355,61.924263 22.194129,61.88433 22.095596,61.792966 22.028654,61.812956 21.980749,61.805178 21.950379,61.812679 21.898774,61.794395 21.906902,61.778325 21.795461,61.759484 21.796762,61.699983 21.802521,61.706968 21.824502,61.694575 21.832596,61.690011 21.818605,61.686896 21.826822,61.681175 21.81342,61.674764 21.815572,61.672562 21.959257,61.614391 21.96677,61.57934 22.103459,61.572256 22.215543,61.571928 22.282078,61.490901 22.473345,61.476725 22.503503,61.492367 22.495391,61.511048 22.544579,61.507498 22.585425,61.486436 22.654406,61.495545 22.678217,61.518694 22.825037,61.512939 22.858477,61.559597 22.927479,61.570285 22.960752,61.564386 23.00074,61.604309 23.047188,61.598811 23.054935,61.604595 23.073442,61.61546 23.055369,61.629575 23.081429,61.638074 23.075149,61.644781 23.07645,61.644771 23.037253,61.664349 23.037854,61.660386 22.993843,61.671588 22.945057,61.663692 22.890444,61.686171 22.836933,61.693163 22.678428,61.724416 22.66969,61.767199 22.542328,61.786799 22.512855,61.801771 22.551376,61.818529 22.56018,61.839484 22.577198,61.854136 22.549001,61.885091 22.541627,61.929422 22.576331,61.94217 22.563694,62.010231 22.600225,62.036378 22.65047,62.069728 22.77359,62.088623 22.771139,62.106201 22.817391,62.12397 22.832392,62.182006 22.77731,62.272903 22.801507,62.272496 22.797552,62.273518 22.740022,62.275207 22.58851,62.312668 22.52727,62.214248 22.503657,62.211761 22.452101,62.19888 22.26721,62.260732 22.194465,62.218599 22.171986,62.151482 22.198052,62.103285 22.107009,62.029441 22.014955,61.99729</coordinates></LinearRing></outerBoundaryIs></Polygon>"
